Age,Income,Debt_Ratio,Nb_Borrowers,Loan_Amt,Loan_Amt_Req,LTV,FICO_Score,Prior_Custom_Score,Current_Custom_Score,CB_Age_Oldest_TL,CB_Age_Newest_TL,CB_Avg_Mos_File,CB_Nb_Sat_TL,CB_Nb_60_Plus_TL,CB_Nb_90_Plus_TL,CB_Pct_Sat_TL,CB_Mos_Since_Dlq,CB_Max_Dlq_12_Mos,CB_Max_Dlq_Ever,CB_Nb_Total_TL,CB_Nb_TL_Open_12,CB_Pct_IL_TL,CB_Nb_Inq_6_Mos,CB_Nb_Inq_6_Mos_excl_7_Days,CB_Rev_Util,CB_IL_Util,CB_Nb_Rev_TL_w_Bal,CB_Nb_IL_TL_w_Bal,CB_Nb_Rev_Tl_75_Pct_Limit,CB_Pct_TL_w_Bal,Risk_Flag
32,12197,25,2,320000,90000.0,89,643,249,251,171,5,92,52,1,0,90,4,3,5,58,2,47,0,0,28,32,7,7,0,78,0
71,2983,25,1,232848,50000.0,21,711,212,237,305,3,146,17,1,1,94,4,2,4,8,2,17,0,0,1,46,2,2,0,31,1
33,13167,19,2,275528,50000.0,83,735,242,236,136,1,72,21,1,0,93,63,6,5,28,4,36,3,3,0,73,0,4,0,80,1
39,22917,14,2,327047,100000.0,84,.,211,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
57,5884,9,2,49000,9800.0,100,695,267,236,164,13,81,28,0,0,81,6,4,6,32,0,63,1,1,4,87,5,2,0,78,1
42,20000,27,1,850000,25000.0,79,681,259,219,172,3,74,23,1,0,92,5,3,5,28,4,28,2,2,6,98,1,2,0,25,1
34,12500,19,2,339000,40100.0,90,688,261,211,127,5,53,26,0,0,100,999,7,8,26,2,50,0,0,59,65,4,4,3,67,0
55,4167,47,1,115302,50000.0,47,617,190,190,339,7,122,21,1,0,77,8,4,5,26,1,27,1,1,78,95,10,2,8,80,1
55,4467,25,1,175890,16000.0,80,652,198,175,326,2,50,14,1,1,81,24,6,2,16,8,44,2,2,62,.,3,1,2,50,0
49,4931,48,1,39000,10001.0,108,772,288,275,139,4,81,28,0,0,100,999,7,8,29,1,45,2,2,0,.,0,2,0,40,1
99,3667,43,1,68000,40000.0,86,693,275,221,261,20,96,17,0,0,100,999,7,8,17,0,18,2,2,78,88,6,2,5,73,0
44,8083,19,2,120000,15000.0,83,691,301,249,211,25,107,14,0,0,86,3,4,6,14,0,29,0,0,13,58,3,2,0,56,0
38,3987,13,2,50000,7300.0,100,650,226,154,59,16,29,7,0,0,71,12,6,6,7,0,29,1,1,64,41,4,1,1,83,0
72,5027,29,2,130000,50000.0,100,728,275,250,318,2,172,16,0,0,100,999,7,8,17,2,29,0,0,48,100,9,2,2,92,1
54,5000,25,1,114598,30000.0,96,.,249,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
89,0,.,1,0,10000.0,50,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
48,12607,6,2,145000,50000.0,65,758,307,256,231,13,158,15,0,0,100,999,7,8,17,0,24,1,1,31,.,4,1,1,56,1
37,7500,39,1,133000,15000.0,85,670,247,237,198,10,70,37,1,0,78,5,4,5,40,4,50,2,2,1,78,4,3,0,39,0
30,3333,40,1,180524,35000.0,90,702,260,237,135,10,67,25,1,1,92,29,6,2,32,2,31,1,1,5,.,2,1,0,33,1
73,1987,39,1,65391,11000.0,36,646,242,176,398,3,110,17,0,0,82,3,4,6,16,4,47,2,2,74,29,4,3,2,88,0
42,10070,16,2,187000,30000.0,100,641,206,155,61,3,27,7,1,0,75,11,4,5,8,3,38,4,4,41,96,2,3,0,83,1
59,4224,34,2,193308,50000.0,58,783,244,248,42,15,120,12,0,0,100,999,7,8,12,0,33,0,0,41,.,1,1,0,50,1
42,4839,38,1,155000,50000.0,100,633,205,159,199,9,40,14,3,2,94,65,0,5,16,3,44,0,0,103,.,4,2,3,100,0
45,9333,31,2,224000,22400.0,100,671,250,212,188,3,75,14,0,0,93,80,6,6,14,1,29,3,3,103,44,3,2,2,100,0
39,5130,23,2,122489,35000.0,90,711,254,254,236,30,93,17,0,0,94,74,6,6,18,0,29,1,1,47,18,2,2,1,50,0
45,15833,14,1,282000,50000.0,89,758,310,245,176,18,107,40,0,0,100,999,7,8,40,0,35,0,0,0,75,2,2,1,21,1
47,7250,37,1,325000,80000.0,70,.,237,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
47,5002,38,1,160000,45000.0,99,679,220,201,74,3,32,14,1,1,93,30,6,3,15,4,40,0,0,58,32,2,5,1,64,0
47,6668,14,2,79408,30000.0,91,742,268,252,222,36,102,2,1,0,75,31,6,5,4,0,75,0,0,0,.,0,1,.,50,0
79,2308,25,2,58740,14000.0,90,653,191,167,176,3,69,10,9,9,77,12,6,2,20,1,46,2,1,89,.,3,1,1,100,0
76,3333,49,1,215002,26600.0,90,713,278,234,234,2,104,34,0,0,100,999,7,8,20,3,50,0,0,69,55,3,3,1,88,0
39,4333,30,2,108297,32500.0,100,679,218,172,207,6,69,20,1,1,90,8,4,2,21,2,33,0,0,75,85,5,3,2,80,0
30,20650,9,1,172000,17600.0,80,680,198,171,194,3,60,29,0,0,97,57,6,6,73,2,47,7,7,52,84,5,6,2,79,1
54,0,.,2,0,66000.0,68,.,0,204,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
43,42750,8,2,405000,49000.0,80,771,289,289,194,4,82,30,0,0,100,999,7,8,34,1,26,2,2,4,.,3,1,0,42,0
38,7083,24,1,187330,21000.0,99,651,235,237,203,4,83,32,1,1,97,.,6,6,35,1,60,2,2,68,8,8,2,1,92,1
36,10417,33,1,323616,70000.0,90,701,237,218,84,5,39,18,1,1,100,999,7,8,10,3,37,4,4,7,14,3,2,1,50,0
65,2917,40,1,113608,10000.0,94,663,222,181,155,1,89,6,1,0,78,8,4,5,9,1,33,4,4,50,74,1,3,0,67,1
43,3357,34,1,118000,30000.0,72,772,241,269,141,15,77,25,0,0,96,30,6,6,32,0,12,0,0,1,.,3,1,0,50,1
60,40667,21,2,900000,100000.0,60,607,202,188,142,2,53,21,1,0,75,6,4,5,24,3,42,1,1,96,41,4,3,2,78,0
58,16456,29,2,430000,100000.0,92,666,277,257,321,11,110,27,0,0,93,17,6,6,29,1,48,1,1,44,38,9,4,1,93,0
38,3333,20,1,78000,15000.0,99,628,229,214,48,10,23,21,0,0,100,999,7,8,22,2,43,3,2,52,87,5,4,3,75,1
32,5333,20,2,87000,20000.0,98,660,284,243,120,16,68,21,0,0,81,20,6,6,21,0,10,1,1,35,.,8,.,1,80,1
56,7047,37,1,209298,40000.0,72,663,239,180,264,3,115,11,0,0,57,1,4,6,14,1,21,2,2,19,63,4,2,1,100,0
38,9333,22,2,238512,40000.0,99,725,267,255,220,4,87,31,0,0,94,43,6,6,31,3,55,1,1,31,64,4,2,0,60,1
47,8833,11,2,80000,25000.0,93,663,212,211,258,3,98,21,7,2,70,11,4,4,55,4,33,0,0,2,75,2,4,0,46,1
31,5980,46,2,265001,26500.0,88,744,244,237,114,3,49,21,0,0,100,999,7,8,21,3,33,3,3,3,50,3,4,0,44,0
80,3839,21,2,112297,15000.0,88,693,222,219,371,17,150,29,0,0,100,999,7,8,24,0,24,1,1,50,76,6,3,3,53,1
40,9583,24,1,270204,50000.0,92,701,285,238,165,8,59,31,0,0,90,17,6,6,31,4,39,0,0,16,.,4,2,1,50,0
33,10000,21,1,204691,20000.0,78,694,257,211,237,9,45,24,0,0,100,999,7,8,50,3,25,3,3,32,73,5,4,1,53,0
37,2780,54,2,149238,50000.0,82,681,214,207,251,3,82,18,0,0,100,999,7,8,14,2,22,4,4,82,.,7,1,1,89,0
51,8333,34,1,350000,100000.0,47,813,240,250,.,37,103,19,0,0,100,999,7,8,0,0,26,1,1,0,.,0,.,0,0,1
65,6027,28,2,182000,25000.0,84,687,252,241,148,2,79,18,0,0,90,26,6,6,21,1,38,3,2,38,100,2,2,2,63,0
39,10280,48,2,140000,50000.0,71,655,247,160,226,1,102,44,0,0,98,1,4,6,50,1,28,2,2,59,100,10,3,4,62,1
31,5750,31,2,119000,27000.0,96,652,261,209,161,9,51,15,0,0,82,5,4,6,17,1,29,0,0,35,44,4,2,1,60,0
51,3917,37,2,140000,25000.0,86,.,278,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
28,5833,23,1,120000,13000.0,90,674,203,200,85,6,35,16,0,0,100,999,7,8,16,4,19,2,2,78,96,5,2,3,78,1
38,7917,32,2,235208,50000.0,94,782,288,288,185,3,80,22,0,0,100,999,7,8,25,2,40,1,1,17,27,2,2,0,50,1
47,23188,18,2,287000,92000.0,98,761,281,281,265,6,83,16,0,0,100,999,7,8,16,2,19,0,0,13,.,1,1,0,22,1
48,4525,16,1,90750,5000.0,78,658,227,197,56,40,47,2,2,0,50,20,6,5,4,0,50,0,0,.,23,.,2,.,100,0
43,8000,30,2,195927,25000.0,94,600,206,186,238,9,100,16,0,0,61,1,4,6,18,1,39,0,0,90,81,5,3,4,67,0
34,5833,16,1,77000,35000.0,100,778,320,287,187,14,99,23,0,0,100,999,7,8,46,0,13,0,0,2,17,2,2,0,80,1
